Title,Creators,DOI,Publisher,Year Published
alan-turing-institute/MLJ.jl: v0.19.3,"Anthony Blaom, PhD, Lienart, Thibaut, Yiannis Simillides, J S, Arenas, Diego, Okon Samuel, Vollmersj, Giordano, Mosè, Huijzer, Rik, Dilum Aluthge, Ayush Shridhar, Ayush Shridhar, , Ed, Samaroo, Julian, Azev77, Swenkel, LudovicoBessi, Hoffimann, Júlio, Evalparse, Muhr, David, Lobianco, Antonello, Kříž, Antonín, Prats, David Buchaca, Squire, Kevin, Borregaard, Michael Krabbe, Oleskiewicz, Sjvollmer, Kadowaki, Shuhei, Jbrea",10.5281/zenodo.8278247,Zenodo,2023
alan-turing-institute/MLJ.jl: v0.19.4,"Anthony Blaom, PhD, Lienart, Thibaut, Yiannis Simillides, J S, Arenas, Diego, Okon Samuel, Vollmersj, Giordano, Mosè, Huijzer, Rik, Dilum Aluthge, Ayush Shridhar, Ayush Shridhar, , Ed, Samaroo, Julian, Azev77, Swenkel, LudovicoBessi, Hoffimann, Júlio, Evalparse, Muhr, David",10.5281/zenodo.8278677,Zenodo,2023
alan-turing-institute/MLJ.jl: v0.19.5,"Anthony Blaom, PhD, Lienart, Thibaut, Yiannis Simillides, J S, Arenas, Diego, Okon Samuel, Vollmersj, Giordano, Mosè, Huijzer, Rik, Dilum Aluthge, Ayush Shridhar, Ayush Shridhar, , Ed, Samaroo, Julian, Azev77, Swenkel, LudovicoBessi, Hoffimann, Júlio, Evalparse, Muhr, David, Lobianco, Antonello, Kříž, Antonín, Prats, David Buchaca, Esparza, Jose, Squire, Kevin, Borregaard, Michael Krabbe, Oleskiewicz, Sjvollmer, Kadowaki, Shuhei",10.5281/zenodo.3541505,Zenodo,2023
alan-turing-institute/MLJ.jl: v0.19.1,"Anthony Blaom, PhD, Lienart, Thibaut, Yiannis Simillides, J S, Arenas, Diego, Okon Samuel, Vollmersj, Giordano, Mosè, Dilum Aluthge, Ayush Shridhar, Ayush Shridhar, , Ed, Huijzer, Rik, Samaroo, Julian, Azev77, Swenkel, LudovicoBessi, Hoffimann, Júlio, Evalparse, Muhr, David, Lobianco, Antonello, Prats, David Buchaca, Squire, Kevin, Borregaard, Michael Krabbe, Oleskiewicz, Sjvollmer, Kadowaki, Shuhei, Jbrea, Sayantan Sadhu",10.5281/zenodo.7514360,Zenodo,2023
alan-turing-institute/MLJ.jl: v0.19.2,"Anthony Blaom, PhD, Lienart, Thibaut, Yiannis Simillides, J S, Arenas, Diego, Okon Samuel, Vollmersj, Giordano, Mosè, Huijzer, Rik, Dilum Aluthge, Ayush Shridhar, Ayush Shridhar, , Ed, Samaroo, Julian, Azev77, Swenkel, LudovicoBessi, Hoffimann, Júlio, Evalparse, Muhr, David, Lobianco, Antonello, Kříž, Antonín, Prats, David Buchaca, Squire, Kevin, Borregaard, Michael Krabbe, Oleskiewicz, Sjvollmer, Kadowaki, Shuhei, Jbrea",10.5281/zenodo.8045372,Zenodo,2023
alan-turing-institute/MLJ.jl: v0.19.5,"Anthony Blaom, PhD, Lienart, Thibaut, Yiannis Simillides, J S, Arenas, Diego, Okon Samuel, Vollmersj, Giordano, Mosè, Huijzer, Rik, Dilum Aluthge, Ayush Shridhar, Ayush Shridhar, , Ed, Samaroo, Julian, Azev77, Swenkel, LudovicoBessi, Hoffimann, Júlio, Evalparse, Muhr, David, Lobianco, Antonello, Kříž, Antonín, Prats, David Buchaca, Esparza, Jose, Squire, Kevin, Borregaard, Michael Krabbe, Oleskiewicz, Sjvollmer, Kadowaki, Shuhei",10.5281/zenodo.8287843,Zenodo,2023
alan-turing-institute/MLJ.jl: v0.18.3,"Anthony Blaom, PhD, Lienart, Thibaut, Yiannis Simillides, Arenas, Diego, Okon Samuel, Vollmersj, Giordano, Mosè, Dilum Aluthge, Ayush Shridhar, Ayush Shridhar, , Ed, Samaroo, Julian, Azev77, Swenkel, Huijzer, Rik, LudovicoBessi, Hoffimann, Júlio, Evalparse, Muhr, David, Prats, David Buchaca, Squire, Kevin, Borregaard, Michael Krabbe, Oleskiewicz, Sjvollmer, Kadowaki, Shuhei, Sayantan Sadhu, Panigrahi, Ashish, Dirks, Bas, Clarman Cruz",10.5281/zenodo.6654825,Zenodo,2022
alan-turing-institute/MLJ.jl: v0.19.0,"Anthony Blaom, PhD, Lienart, Thibaut, Yiannis Simillides, J S, Arenas, Diego, Okon Samuel, Vollmersj, Giordano, Mosè, Dilum Aluthge, Ayush Shridhar, Ayush Shridhar, , Ed, Samaroo, Julian, Azev77, Swenkel, Huijzer, Rik, LudovicoBessi, Hoffimann, Júlio, Evalparse, Muhr, David, Prats, David Buchaca, Squire, Kevin, Borregaard, Michael Krabbe, Oleskiewicz, Sjvollmer, Kadowaki, Shuhei, Jbrea, Sayantan Sadhu, Xgdgsc",10.5281/zenodo.7301941,Zenodo,2022
alan-turing-institute/MLJ.jl: v0.18.4,"Anthony Blaom, PhD, Lienart, Thibaut, Yiannis Simillides, Arenas, Diego, Okon Samuel, Vollmersj, Giordano, Mosè, Dilum Aluthge, Ayush Shridhar, Ayush Shridhar, , Ed, Samaroo, Julian, Azev77, Swenkel, Huijzer, Rik, LudovicoBessi, Hoffimann, Júlio, Evalparse, Muhr, David, Prats, David Buchaca, Squire, Kevin, Borregaard, Michael Krabbe, Oleskiewicz, Sjvollmer, Kadowaki, Shuhei, Sayantan Sadhu, Panigrahi, Ashish, Dirks, Bas, Clarman Cruz",10.5281/zenodo.6831302,Zenodo,2022
alan-turing-institute/MLJ.jl: v0.18.5,"Anthony Blaom, PhD, Lienart, Thibaut, Yiannis Simillides, J S, Arenas, Diego, Okon Samuel, Vollmersj, Giordano, Mosè, Dilum Aluthge, Ayush Shridhar, Ayush Shridhar, , Ed, Samaroo, Julian, Azev77, Swenkel, Huijzer, Rik, LudovicoBessi, Hoffimann, Júlio, Evalparse, Muhr, David, Prats, David Buchaca, Squire, Kevin, Borregaard, Michael Krabbe, Oleskiewicz, Sjvollmer, Kadowaki, Shuhei, Jbrea, Sayantan Sadhu, Panigrahi, Ashish",10.5281/zenodo.7036212,Zenodo,2022
alan-turing-institute/MLJ.jl: v0.18.6,"Anthony Blaom, PhD, Lienart, Thibaut, Yiannis Simillides, J S, Arenas, Diego, Okon Samuel, Vollmersj, Giordano, Mosè, Dilum Aluthge, Ayush Shridhar, Ayush Shridhar, , Ed, Samaroo, Julian, Azev77, Swenkel, Huijzer, Rik, LudovicoBessi, Hoffimann, Júlio, Evalparse, Muhr, David, Prats, David Buchaca, Squire, Kevin, Borregaard, Michael Krabbe, Oleskiewicz, Sjvollmer, Kadowaki, Shuhei, Jbrea, Sayantan Sadhu, Xgdgsc",10.5281/zenodo.7255820,Zenodo,2022
alan-turing-institute/MLJ.jl: v0.17.0,"Anthony Blaom, PhD, Lienart, Thibaut, Yiannis Simillides, Arenas, Diego, Okon Samuel, Vollmersj, Giordano, Mosè, Dilum Aluthge, Ayush Shridhar, Ayush Shridhar, , Ed, Samaroo, Julian, Azev77, Swenkel, Huijzer, Rik, LudovicoBessi, Hoffimann, Júlio, Evalparse, Prats, David Buchaca, Squire, Kevin, Borregaard, Michael Krabbe, Oleskiewicz, Sjvollmer, Kadowaki, Shuhei, Panigrahi, Ashish, Dirks, Bas, Clarman Cruz, St-Jean, Cédric, Muhr, David",10.5281/zenodo.5808390,Zenodo,2021
alan-turing-institute/MLJ.jl: v0.17.0,"Anthony Blaom, PhD, Lienart, Thibaut, Yiannis Simillides, Arenas, Diego, Okon Samuel, Vollmersj, Giordano, Mosè, Dilum Aluthge, Ayush Shridhar, Ayush Shridhar, , Ed, Samaroo, Julian, Azev77, Swenkel, Huijzer, Rik, LudovicoBessi, Hoffimann, Júlio, Evalparse, Prats, David Buchaca, Squire, Kevin, Borregaard, Michael Krabbe, Oleskiewicz, Sjvollmer, Kadowaki, Shuhei, Panigrahi, Ashish, Dirks, Bas, Clarman Cruz, St-Jean, Cédric, Muhr, David",10.5281/zenodo.5808390,Zenodo,2021
alan-turing-institute/MLJ.jl: v0.18.0,"Anthony Blaom, PhD, Lienart, Thibaut, Yiannis Simillides, Arenas, Diego, Okon Samuel, Vollmersj, Giordano, Mosè, Dilum Aluthge, Ayush Shridhar, Ayush Shridhar, , Ed, Samaroo, Julian, Azev77, Swenkel, Huijzer, Rik, LudovicoBessi, Hoffimann, Júlio, Evalparse, Muhr, David, Prats, David Buchaca, Squire, Kevin, Borregaard, Michael Krabbe, Oleskiewicz, Sjvollmer, Kadowaki, Shuhei, Sayantan Sadhu, Panigrahi, Ashish, Dirks, Bas, Clarman Cruz",10.5281/zenodo.6419944,Zenodo,2022
alan-turing-institute/MLJ.jl: v0.18.1,"Anthony Blaom, PhD, Lienart, Thibaut, Yiannis Simillides, Arenas, Diego, Okon Samuel, Vollmersj, Giordano, Mosè, Dilum Aluthge, Ayush Shridhar, Ayush Shridhar, , Ed, Samaroo, Julian, Azev77, Swenkel, Huijzer, Rik, LudovicoBessi, Hoffimann, Júlio, Evalparse, Muhr, David, Prats, David Buchaca, Squire, Kevin, Borregaard, Michael Krabbe, Oleskiewicz, Sjvollmer, Kadowaki, Shuhei, Sayantan Sadhu, Panigrahi, Ashish, Dirks, Bas, Clarman Cruz",10.5281/zenodo.6419990,Zenodo,2022
alan-turing-institute/MLJ.jl: v0.17.1,"Anthony Blaom, PhD, Lienart, Thibaut, Yiannis Simillides, Arenas, Diego, Okon Samuel, Vollmersj, Giordano, Mosè, Dilum Aluthge, Ayush Shridhar, Ayush Shridhar, , Ed, Samaroo, Julian, Azev77, Swenkel, Huijzer, Rik, LudovicoBessi, Hoffimann, Júlio, Evalparse, Prats, David Buchaca, Squire, Kevin, Borregaard, Michael Krabbe, Oleskiewicz, Sjvollmer, Kadowaki, Shuhei, Sayantan Sadhu, Panigrahi, Ashish, Dirks, Bas, Clarman Cruz, St-Jean, Cédric",10.5281/zenodo.5879957,Zenodo,2022
alan-turing-institute/MLJ.jl: v0.17.2,"Anthony Blaom, PhD, Lienart, Thibaut, Yiannis Simillides, Arenas, Diego, Okon Samuel, Vollmersj, Giordano, Mosè, Dilum Aluthge, Ayush Shridhar, Ayush Shridhar, , Ed, Samaroo, Julian, Azev77, Swenkel, Huijzer, Rik, LudovicoBessi, Hoffimann, Júlio, Evalparse, Muhr, David, Prats, David Buchaca, Squire, Kevin, Borregaard, Michael Krabbe, Oleskiewicz, Sjvollmer, Kadowaki, Shuhei, Sayantan Sadhu, Panigrahi, Ashish, Dirks, Bas, Clarman Cruz",10.5281/zenodo.6333028,Zenodo,2022
